artists;acousticness;danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;valence;popularity;key;mode;count;;;;;;;;
2000 And One;0.086336592;0.67008;401533.52;0.7794;0.7148304;0.077248;-8.96968;0.062448;125.5596;0.446456;2.72;2;0;25;;;;;;;;
2000 Jr Philadelphia Singers;0.608;0.238;238053;0.178;0.0179;0.311;-17.578;0.0487;185.644;0.34;1;2;1;1;;;;;;;;
2000 Philadelphia Singers;0.8795;0.235;261773.25;0.160425;0.0345225;0.197025;-16.70075;0.04055;116.05175;0.177725;0.25;1;1;8;;;;;;;;
2000 Philadelphia Singers Male Quartet;0.881;0.407;190840;0.258;0.000455;0.127;-13.391;0.031;102.411;0.194;0;7;1;2;;;;;;;;
2000F & J Kamata;0.000317;0.351;346653;0.621;0.6;0.105;-7.02;0.0517;139.943;0.265;1;7;1;2;;;;;;;;
2002;0.9379;0.2183;312737.4;0.1161;0.841;0.09898;-20.0321;0.03427;159.0128;0.082;28;4;1;20;;;;;;;;
2003 Jr Philadelphia Singers;0.921;0.606;174000;0.207;0;0.0811;-16.425;0.102;92.541;0.809;0;0;1;2;;;;;;;;
2003 Philadelphia Singers;0.95325;0.428;285170;0.21125;0.00385295;0.17425;-15.45575;0.033075;97.2015;0.343275;0.75;2;1;4;;;;;;;;
2003 Philadelphia Singers Men;0.772;0.583;233000;0.207;0;0.107;-13.722;0.0383;119.754;0.493;1;5;1;2;;;;;;;;
2003 Philadelphia Singers Quartet;0.962;0.418;248000;0.089;0;0.0523;-19.11;0.037;79.497;0.555;0;0;1;1;;;;;;;;
2004 Hawaii Music Awards Compilation Of The Year;0.823;0.517428571;215792.2857;0.362428571;0.125523457;0.191;-11.97957143;0.034871429;124.7498571;0.474428571;10.85714286;4;1;14;;;;;;;;
2004 Philadelphia Singers;0.9705;0.1515;325000;0.225;0.005825;0.2255;-14.179;0.0391;68.1605;0.0977;1;2;1;2;;;;;;;;
2004 Philadelphia Singers Men;0.931;0.434;180000;0.311;1.12E-06;0.0801;-10.062;0.0259;83.912;0.283;1;0;1;2;;;;;;;;
2004 Philadelphia Singers Women;0.969;0.303;158227;0.158;0.0134;0.114;-17.621;0.0315;102.357;0.32;0;7;1;2;;;;;;;;
2005 ทิวา Hula Hula;0.238;0.728;203867;0.911;7.91E-06;0.022;-1.036;0.0457;153.011;0.964;2;2;1;2;;;;;;;;
2007 Philadelphia Singers;0.946;0.155;436907;0.191;0.014;0.0956;-14.586;0.0383;83.272;0.09;1;5;1;1;;;;;;;;
2007 Philadelphia Singers Quartet;0.963;0.204;225000;0.166;0.000418;0.114;-14.809;0.037;61.943;0.0776;1;5;1;1;;;;;;;;
2008 South Africa;0.678;0.692;225360;0.517;0;0.119;-7.027;0.0298;127.944;0.485;0;9;1;1;;;;;;;;
2009 Philadelphia Singers;0.951;0.368;235973;0.251;1.00E-06;0.0874;-14.612;0.0336;80.113;0.197;0;5;1;1;;;;;;;;
